"Index" "Consumption" "Production"
"2019-04-06" 4427638.1 3496616.6
"2019-04-07" 4307584.3 3473312.8
"2019-04-08" 4791993.9 4106651.7
"2019-04-09" 4789335.5 4171624.6
"2019-04-10" 4886427.5 4145167.2
"2019-04-11" 4826596.2 4025881.8
"2019-04-12" 4879165.1 3856897.4
"2019-04-13" 4581838.5 3390161.5
"2019-04-14" 4348614.5 3406447.6
"2019-04-15" 4629480.9 3544588.5
"2019-04-16" 4536900.6 3328736.2
"2019-04-17" 4460765.4 3309931.2
"2019-04-18" 4388097 3238572.5
"2019-04-19" 4074515.2 3154779.9
"2019-04-20" 4060534.6 2957626.8
"2019-04-21" 3174030.1 2738355.1
"2019-04-22" 3990690.9 3112322.3
"2019-04-23" 4157088.2 3435894.4
"2019-04-24" 4116612.1 3182942
"2019-04-25" 4166258.3 3198426.1
"2019-04-26" 4168311.7 3268711.7
"2019-04-27" 3893545.8 3393037.2
"2019-04-28" 3942579.1 3325920.6
"2019-04-29" 4391918.1 3551051.9
"2019-04-30" 4283089.7 3476764
"2019-05-01" 4098419.5 3332293
"2019-05-02" 4532631.2 3503076.6
"2019-05-03" 4812160.7 3793108.4
"2019-05-04" 4045386.3 2872464.2
"2019-05-05" 4211784 3160572.2
"2019-05-06" 4362741.1 3358902.4
"2019-05-07" 4299145.9 3503189.3
"2019-05-08" 4231898.2 3626028.1
"2019-05-09" 4136494.8 3206732.8
"2019-05-10" 4163908.9 3148054.5
"2019-05-11" 3998071.1 2869264.4
"2019-05-12" 3851169.4 3258924.1
"2019-05-13" 4156145.7 3452811.9
"2019-05-14" 4065506.1 3205585.7
"2019-05-15" 3991448.9 2979862.6
"2019-05-16" 3932038.1 2911785.1
"2019-05-17" 3922083.1 2890822
"2019-05-18" 3633617 2611655.2
"2019-05-19" 3531444.6 2654772.1
"2019-05-20" 3843893.9 2846839.3
"2019-05-21" 3750093 2747176.8
"2019-05-22" 3729506.5 2836190.5
"2019-05-23" 3845324 2838582.7
"2019-05-24" 4037519.3 3010475.5
"2019-05-25" 3881275.3 2725755.8
"2019-05-26" 3819370.1 2701767.8
"2019-05-27" 4056946.5 3161956.2
"2019-05-28" 4024166.2 3308098.9
"2019-05-29" 4013193.8 3478189.3
"2019-05-30" 3896633.3 3627492.2
"2019-05-31" 4056491 3739419.1
"2019-06-01" 3769967.2 3441141.7
"2019-06-02" 3735548.7 2991898
"2019-06-03" 4025491.8 3115161.2
"2019-06-04" 3960341.8 3145072.6
"2019-06-05" 3878274.7 2933432.7
"2019-06-06" 3939706.4 2910655.7
"2019-06-07" 3947508.7 2901736.5
"2019-06-08" 3679522.5 2699181.4
"2019-06-09" 3557661.1 2824579.8
"2019-06-10" 3897718.8 3042174
"2019-06-11" 3908847.9 2968564
"2019-06-12" 3935349.5 2980061.4
"2019-06-13" 4043002.5 3188674.5
"2019-06-14" 4043200.4 3063084.8
"2019-06-15" 3704263.5 2932178.6
"2019-06-16" 3513874.4 2979012.5
"2019-06-17" 3735089 2990172.1
"2019-06-18" 3594991.6 2946958
"2019-06-19" 3528533.9 2840273.7
"2019-06-20" 3508802.9 2783472.2
"2019-06-21" 3147891 2817138.9
"2019-06-22" 2981685.8 2928437.2
"2019-06-23" 3046956.9 2915101.2
"2019-06-24" 3537084 2781748.6
"2019-06-25" 3798185.1 2958402.5
"2019-06-26" 3915994.9 3040433.1
"2019-06-27" 3880264.9 3104856.2
"2019-06-28" 3861564.3 3147906
"2019-06-29" 3663799.7 2965917.9
"2019-06-30" 3548984.7 2745423.6
"2019-07-01" 3860720.7 3165877
"2019-07-02" 3866161.2 2976875.5
"2019-07-03" 3865673.3 3092202.3
"2019-07-04" 3910507.4 3122798.1
"2019-07-05" 3926690.6 2989639.4
"2019-07-06" 3710967.9 2699205.9
"2019-07-07" 3644144.2 2751452
"2019-07-08" 3885748.2 3066225.3
"2019-07-09" 3891154.3 3135536.1
"2019-07-10" 3766484.8 3035400.4
"2019-07-11" 3901883.7 3080208.5
"2019-07-12" 3885433.7 3081828.7
"2019-07-13" 3703911.1 2713184.9
"2019-07-14" 3653788.5 2606219.1
"2019-07-15" 3777333.9 2952908.8
"2019-07-16" 3741701.7 2978117.7
"2019-07-17" 3763186.4 2935307.5
"2019-07-18" 3822370.4 2988438.4
"2019-07-19" 3830146.1 2933546.9
"2019-07-20" 3617788.9 2572158.4
"2019-07-21" 3566155.1 2547144.9
"2019-07-22" 3769752.3 2901250.8
"2019-07-23" 3776554.5 2897359.2
"2019-07-24" 3754348.5 2847672.5
"2019-07-25" 3817920 2798373
"2019-07-26" 3882821.8 2814786.4
"2019-07-27" 3674268.7 2585401.7
"2019-07-28" 3562355.2 2681876.2
"2019-07-29" 3864794.2 3022126.5
"2019-07-30" 3817202.1 3125178.8
"2019-07-31" 3834957.4 2955629.5
"2019-08-01" 3848017.1 2838325.4
"2019-08-02" 3925695.6 2844368.6
"2019-08-03" 3754411.9 2487049.7
"2019-08-04" 3692608.4 2539860.8
"2019-08-05" 3932036.6 2745102.3
"2019-08-06" 3874324.7 2640530.6
"2019-08-07" 3889913.1 2726672.3
"2019-08-08" 3902190.3 2668140.4
"2019-08-09" 3959700.5 2594033.2
"2019-08-10" 3715622.7 2309745.2
"2019-08-11" 3666159.3 2562417.7
"2019-08-12" 3991570 2845422.9
"2019-08-13" 4020340.5 2879014.8
"2019-08-14" 3996102.2 2742531.8
"2019-08-15" 4044164.8 2741894
"2019-08-16" 3903997 2570646.2
"2019-08-17" 3802319.9 2596716.6
"2019-08-18" 3656096.7 2637940.5
"2019-08-19" 4054743.8 2903428.2
"2019-08-20" 4012041.5 2767497
"2019-08-21" 4015585.1 2676635.9
"2019-08-22" 4039995.2 2551522.2
"2019-08-23" 4136728.9 2617185.7
"2019-08-24" 3807161.5 2290237.4
"2019-08-25" 3714624.1 2430955.7
"2019-08-26" 4019375.5 2707372
"2019-08-27" 3997576.5 2636787.3
"2019-08-28" 3984912.5 2701517
"2019-08-29" 4025738.8 2824420.6
"2019-08-30" 4093622.5 2798472.3
"2019-08-31" 3768987.8 2422518.6
"2019-09-01" 3704245 2435125.7
"2019-09-02" 4092542.5 2865951.7
"2019-09-03" 4016916.4 2691411.7
"2019-09-04" 2578278.8 1725295.6
"2019-09-05" 2534993.1 1843526.4
"2019-09-06" 4083686.7 2929473.6
"2019-09-07" 3890312.4 2454480.4
"2019-09-08" 3747530 2224964.4
"2019-09-09" 4081624.9 2675308.1
"2019-09-10" 3962977.9 2561277.7
"2019-09-11" 3917629.7 2680762.3
"2019-09-12" 3984400.2 2829848.6
"2019-09-13" 4064528.3 2779761.1
"2019-09-14" 3862457.4 2567844.2
"2019-09-15" 3817772.8 2640832
"2019-09-16" 4027872.5 2784033.9
"2019-09-17" 4206570.2 2914863.6
"2019-09-18" 4333615.5 3046980.4
"2019-09-19" 4321435.8 3048977.6
"2019-09-20" 4412651 3119031.6
"2019-09-21" 4173416.2 2636457.1
"2019-09-22" 4067460.1 2798195.7
"2019-09-23" 4510215.3 3247450.4
"2019-09-24" 4614655.4 3173644.9
"2019-09-25" 4433473.1 3120871.8
"2019-09-26" 4413174.8 3204795
"2019-09-27" 4373278.2 3120568
"2019-09-28" 4042435.2 2891832.5
"2019-09-29" 3898453.3 2743640.6
"2019-09-30" 4176481.9 3129048.5
"2019-10-01" 4250676.2 3464761.3
"2019-10-02" 4327474.7 3540104.9
"2019-10-03" 4517509.5 3603502.8
"2019-10-04" 4676453.3 3581170.3
"2019-10-05" 4466289 3184174.5
"2019-10-06" 4350680.3 3000079.4
"2019-10-07" 4658175.4 3551965.9
"2019-10-08" 4646176.7 3671756.9
"2019-10-09" 4680760 3606570.7
"2019-10-10" 4701505.1 3541216.7
"2019-10-11" 4446359 3290797.3
"2019-10-12" 4384103.8 2847540.4
"2019-10-13" 4292850.8 2825326.3
"2019-10-14" 4722113 3332903.2
"2019-10-15" 4723638.6 3369353.9
"2019-10-16" 4691784.1 3385640.2
"2019-10-17" 4730345.4 3649522.5
"2019-10-18" 4687379.4 3587015.4
"2019-10-19" 4241046.1 3172930.8
"2019-10-20" 4267340.5 3144138.5
"2019-10-21" 4697824.6 3505663
"2019-10-22" 4530671.3 3606469.1
"2019-10-23" 4491663.1 3488043.8
"2019-10-24" 4485880.4 3425850.1
"2019-10-25" 4401615.8 3436507.5
"2019-10-26" 4331792.8 3317424.8
"2019-10-27" 4486370.2 3209722.5
"2019-10-28" 4929517.9 3736153.6
"2019-10-29" 4989751.8 3978996.4
"2019-10-30" 4955440.2 3995455.3
"2019-10-31" 4898736 3942996.9
"2019-11-01" 5054941.1 3718680.5
"2019-11-02" 4670776.6 3445196.2
"2019-11-03" 4563117.1 3254174
"2019-11-04" 5133121.1 3550023.4
"2019-11-05" 5296191.3 3885937.5
"2019-11-06" 5519390 3985033.9
"2019-11-07" 5567487 3953355.2
"2019-11-08" 5441394.8 3858995.7
"2019-11-09" 4856386.1 3414962.2
"2019-11-10" 4593077.9 3475321.1
"2019-11-11" 5038306.7 3674275.5
"2019-11-12" 5038687.6 3774085.6
"2019-11-13" 4791637.1 3742083.6
"2019-11-14" 4719398 3539114.1
"2019-11-15" 4034130.1 3019370.2
"2019-11-16" 4786583.1 3384246.6
"2019-11-17" 4576852.3 3449701.4
"2019-11-18" 4918695.1 3620746.5
"2019-11-19" 4768004.4 3808663.1
"2019-11-20" 4719306.6 3812753
"2019-11-21" 4788970.3 3553381.3
"2019-11-22" 4960799.9 3620108.9
"2019-11-23" 4880167.3 3427436.8
"2019-11-24" 4854731.8 3620194.1
"2019-11-25" 5186428.5 3939127.3
"2019-11-26" 5016023.7 3880878
"2019-11-27" 5088814.4 3967019.6
"2019-11-28" 5009262.5 3971700.2
"2019-11-29" 5066171.4 3838116
"2019-11-30" 4998134.2 4158745.4
"2019-12-01" 4864682.2 4284480.1
"2019-12-02" 5180505.7 4525098.1
"2019-12-03" 5306082.6 4337542.7
"2019-12-04" 4958922.7 4191272.1
"2019-12-05" 4837017 4129205.9
"2019-12-06" 4636564.7 3809597
"2019-12-07" 4645633.8 3556150.9
"2019-12-08" 4614653.4 3584978.9
"2019-12-09" 4689664.5 3916475.2
"2019-12-10" 5022362.6 4079636.2
"2019-12-11" 4925842.8 4331242.5
"2019-12-12" 4556146.3 4011373.5
"2019-12-13" 5046385.5 4165369.8
"2019-12-14" 4775109.4 3791064.9
"2019-12-15" 4658521.9 3794487.6
"2019-12-16" 5023258.6 3798818.3
"2019-12-17" 4997126.2 3855825.7
"2019-12-18" 5086344.5 3892424.2
"2019-12-19" 5069801.6 4027828.7
"2019-12-20" 4993971.3 3901968.7
"2019-12-21" 4718935.1 3625897.9
"2019-12-22" 4445905.8 3544548
"2019-12-23" 4426326.6 3698724.7
"2019-12-24" 4240950.6 3432987.1
"2019-12-25" 4224893.6 3400849
"2019-12-26" 4341288.1 3620738.8
"2019-12-27" 4832914.5 3962376.5
"2019-12-28" 5034819.7 4038287.8
"2019-12-29" 4637774.9 3900844.7
"2019-12-30" 4600247 3853027
"2019-12-31" 4619267.7 3735862.5
"2020-01-01" 4655396.7 3917336.6
"2020-01-02" 4730006.4 4068992.1
"2020-01-03" 4796784.5 4072966.5
"2020-01-04" 4817094.1 4087922.7
"2020-01-05" 4981664.7 4124010.3
"2020-01-06" 4928348.7 4022153.6
"2020-01-07" 4899201.2 3956792.3
"2020-01-08" 4861594.8 4084114
"2020-01-09" 4978671.4 4384540.3
"2020-01-10" 5258189.4 4348229.2
"2020-01-11" 5057108.1 4197779.2
"2020-01-12" 4657419.7 4026312.5
"2020-01-13" 5129601.7 4354222.5
"2020-01-14" 5046203.2 4249683.5
"2020-01-15" 4953433.6 4032852
"2020-01-16" 5030741 3979108.4
"2020-01-17" 5061561.1 4125014
"2020-01-18" 4809306.5 3815507.1
"2020-01-19" 4714190 3835487.9
"2020-01-20" 4767281.3 3993067.1
"2020-01-21" 4779423.5 4078443
"2020-01-22" 5090155.3 4322353.7
"2020-01-23" 5256017.2 4301822
"2020-01-24" 5123434 4244693.7
"2020-01-25" 4953564.6 3868838.2
"2020-01-26" 4500589.6 3487614.3
"2020-01-27" 4736407 3840911.1
"2020-01-28" 4521351.8 3752958.3
"2020-01-29" 4517444.6 3724135.9
"2020-01-30" 4517689.6 3790257.6
"2020-01-31" 4505751.4 3813755.5
"2020-02-01" 4252220.9 3636194.6
"2020-02-02" 3393842.1 2738135.3
"2020-02-03" 4516271.5 3954187.7
"2020-02-04" 4840752.2 3904053
"2020-02-05" 4748091.6 4001738.1
"2020-02-06" 4825554.1 4233655.7
"2020-02-07" 4249636.7 3498986
"2020-02-08" 3772631.1 3163051.8
"2020-02-09" 3627494.9 3360337
"2020-02-10" 3617379.3 3197196.8
"2020-02-11" 4278944.2 3658698.2
"2020-02-12" 4846092.3 3852962.6
"2020-02-13" 5023830.1 3927087.3
"2020-02-14" 5182706.9 4284048.3
"2020-02-15" 4559071.9 3735298.9
"2020-02-16" 4735145.8 4054239.9
"2020-02-17" 4919757.7 4222271.9
"2020-02-18" 4903837.6 4111405.3
"2020-02-19" 4954902.4 4073689.3
"2020-02-20" 5170188.5 4292920.9
"2020-02-21" 5074000.6 4341872.1
"2020-02-22" 4724550.9 3945111.2
"2020-02-23" 4577005 3884141.3
"2020-02-24" 4990994.8 4503930.5
"2020-02-25" 5188073.9 4263749.3
"2020-02-26" 5364852 4373670
"2020-02-27" 5413513 4590922.2
"2020-02-28" 5536263 4374957.9
