"maakunta";"ikäluokka";"VMI 12/13 (2017-2021)"
"Keski-Suomi";"Puuton";18
"Keski-Suomi";"Ikäluokka - 1-20";232
"Keski-Suomi";"Ikäluokka - 21-40";321
"Keski-Suomi";"Ikäluokka - 41-60";358
"Keski-Suomi";"Ikäluokka - 61-80";171
"Keski-Suomi";"Ikäluokka - 81-100";107
"Keski-Suomi";"Ikäluokka - 101-120";64
"Keski-Suomi";"Ikäluokka - 121-140";27
"Keski-Suomi";"Ikäluokka - 141+";17
"Keski-Suomi";"Metsämaa yhteensä";1316
"Etelä-Pohjanmaa";"Puuton";16
"Etelä-Pohjanmaa";"Ikäluokka - 1-20";159
"Etelä-Pohjanmaa";"Ikäluokka - 21-40";173
"Etelä-Pohjanmaa";"Ikäluokka - 41-60";188
"Etelä-Pohjanmaa";"Ikäluokka - 61-80";149
"Etelä-Pohjanmaa";"Ikäluokka - 81-100";114
"Etelä-Pohjanmaa";"Ikäluokka - 101-120";77
"Etelä-Pohjanmaa";"Ikäluokka - 121-140";43
"Etelä-Pohjanmaa";"Ikäluokka - 141+";21
"Etelä-Pohjanmaa";"Metsämaa yhteensä";941
"Pohjanmaa";"Puuton";6
"Pohjanmaa";"Ikäluokka - 1-20";85
"Pohjanmaa";"Ikäluokka - 21-40";119
"Pohjanmaa";"Ikäluokka - 41-60";138
"Pohjanmaa";"Ikäluokka - 61-80";68
"Pohjanmaa";"Ikäluokka - 81-100";41
"Pohjanmaa";"Ikäluokka - 101-120";25
"Pohjanmaa";"Ikäluokka - 121-140";14
"Pohjanmaa";"Ikäluokka - 141+";7
"Pohjanmaa";"Metsämaa yhteensä";503
"Keski-Pohjanmaa";"Puuton";5
"Keski-Pohjanmaa";"Ikäluokka - 1-20";42
"Keski-Pohjanmaa";"Ikäluokka - 21-40";58
"Keski-Pohjanmaa";"Ikäluokka - 41-60";93
"Keski-Pohjanmaa";"Ikäluokka - 61-80";66
"Keski-Pohjanmaa";"Ikäluokka - 81-100";35
"Keski-Pohjanmaa";"Ikäluokka - 101-120";18
"Keski-Pohjanmaa";"Ikäluokka - 121-140";11
"Keski-Pohjanmaa";"Ikäluokka - 141+";8
"Keski-Pohjanmaa";"Metsämaa yhteensä";336
"Pohjois-Pohjanmaa";"Puuton";48
"Pohjois-Pohjanmaa";"Ikäluokka - 1-20";336
"Pohjois-Pohjanmaa";"Ikäluokka - 21-40";330
"Pohjois-Pohjanmaa";"Ikäluokka - 41-60";488
"Pohjois-Pohjanmaa";"Ikäluokka - 61-80";567
"Pohjois-Pohjanmaa";"Ikäluokka - 81-100";360
"Pohjois-Pohjanmaa";"Ikäluokka - 101-120";178
"Pohjois-Pohjanmaa";"Ikäluokka - 121-140";88
"Pohjois-Pohjanmaa";"Ikäluokka - 141+";120
"Pohjois-Pohjanmaa";"Metsämaa yhteensä";2515
"Kainuu";"Puuton";24
"Kainuu";"Ikäluokka - 1-20";255
"Kainuu";"Ikäluokka - 21-40";281
"Kainuu";"Ikäluokka - 41-60";391
"Kainuu";"Ikäluokka - 61-80";337
"Kainuu";"Ikäluokka - 81-100";121
"Kainuu";"Ikäluokka - 101-120";58
"Kainuu";"Ikäluokka - 121-140";39
"Kainuu";"Ikäluokka - 141+";118
"Kainuu";"Metsämaa yhteensä";1625
"Lappi";"Puuton";35
"Lappi";"Ikäluokka - 1-20";445
"Lappi";"Ikäluokka - 21-40";475
"Lappi";"Ikäluokka - 41-60";562
"Lappi";"Ikäluokka - 61-80";985
"Lappi";"Ikäluokka - 81-100";784
"Lappi";"Ikäluokka - 101-120";378
"Lappi";"Ikäluokka - 121-140";205
"Lappi";"Ikäluokka - 141+";992
"Lappi";"Metsämaa yhteensä";4860
"Ahvenanmaa";"Puuton";0
"Ahvenanmaa";"Ikäluokka - 1-20";7
"Ahvenanmaa";"Ikäluokka - 21-40";15
"Ahvenanmaa";"Ikäluokka - 41-60";18
"Ahvenanmaa";"Ikäluokka - 61-80";9
"Ahvenanmaa";"Ikäluokka - 81-100";8
"Ahvenanmaa";"Ikäluokka - 101-120";3
"Ahvenanmaa";"Ikäluokka - 121-140";3
"Ahvenanmaa";"Ikäluokka - 141+";1
"Ahvenanmaa";"Metsämaa yhteensä";64
