Nimi	Synt.aika (v-kk-p)	Kotikunta	VP	Ääniä	Kansanedustajana	Ryhmä	Toiminta eduskunnassa tai hallituksessa
Kataja Sampsa	1972-04-03	Pori	SAT	6 425(1/2)	2007–	kok	
Kauma Pia	1966-10-20	Espoo	UUS	3 551(9/11)	2011–	kok	
Kerola Inkeri	1957-03-18	Raahe	OUL	6 289(4/6)	1999–	kesk	
Kettunen Pentti	1942-02-25	Kajaani	OUL	3 990(3/4)	1983–1987, 1989–1991, 2011–	ps	eduskuntaryhmän 1. varapuheenjohtaja
Kiljunen Anneli	1957-09-17	Lappeenranta	KYM	8 294(1/4)	2003–	sd	
Kiuru Krista	1974-08-05	Pori	SAT	7 786(1/2)	2007–	sd	asunto- ja viestintäministeri
Kiuru Pauli	1962-12-08	Valkeakoski	PIR	5 340(4/5)	2011–	kok	
Kivelä Kimmo	1961-10-05	Kuopio	POS	4 366(2/2)	2011–	ps	
Kiviniemi Mari	1968-09-27	Helsinki	HEL	8 812(1/1)	1995–2014	kesk	
Kiviranta Esko	1950-09-02	Sauvo	VAR	6 035(1/2)	2003–	kesk	
Kokko Osmo	1954-11-17	Joensuu	POK	4 677(1/1)	2011–	ps	
Komi Katri	1968-05-11	Joroinen	ETS	4 964(2/2)	1999–	kesk	
Kontula Anna	1977-03-30	Tampere	PIR	4 262(1/1)	2011–	vas	
Kopra Jukka	1967-02-11	Lappeenranta	KYM	4 303(2/2)	2011–	kok	
Korhonen Martti	1953-02-27	Oulu	OUL	6 147(2/3)	1991–	vas	ympäristövaliokunnan puheenjohtaja
Korhonen Timo V.	1959-09-23	Sotkamo	OUL	5 369(6/6)	2007–	kesk	
Koskela Laila	1949-03-03	Tampere	PIR	9 172(1/4)	2011–	kesk	
Koskinen Johannes	1954-12-10	Hämeenlinna	HÄM	7 603(1/4)	1991–	sd	perustuslakivaliokunnan puheenjohtaja
Kumpula-Natri Miapetra	1972-05-19	Vaasa	VAA	7 324(2/2)	2003–2014	sd	suuren valiokunnan puheenjohtaja
Kurvinen Esko	1952-10-06	Oulu	OUL	3 546(1/2)	1999–2007, 2011–	kok	
Kuusisto Merja	1954-12-04	Tuusula	UUS	4 324(6/7)	2007–	sd	
Kyllönen Merja	1977-01-25	Suomussalmi	OUL	7 837(1/3)	2007–2014	vas	liikenneministeri, eduskuntaryhmän 1. varapuheenjohtaja
Kymäläinen Suna	1976-09-15	Ruokolahti	KYM	4 098(4/4)	2011–	sd	
Kärnä Jukka	1955-11-14	Imatra	KYM	4 325(3/4)	2011–	sd	
Kääriäinen Seppo	1948-03-29	Iisalmi	POS	7 061(1/3)	1987–	kesk	
Lapintie Annika	1955-03-18	Turku	VAR	7 723(1/2)	1995–	vas	eduskuntaryhmän puheenjohtaja
Lauslahti Sanna	1966-04-07	Espoo	UUS	3 312(11/11)	2007–	kok	
Lehti Eero	1944-08-23	Kerava	UUS	3 993(8/11)	2007–	kok	
Lehtomäki Paula	1972-11-29	Helsinki	UUS	7 356(1/2)	1999–	kesk	
Lepomäki Elina	1981-10-23	Espoo	UUS	3 144	2014–	kok	
Leppä Jari	1959-06-24	Pertunmaa	ETS	5 570(1/2)	1999–	kesk	maa- ja metsätalousvaliokunnan puheenjohtaja
Lindström Jari	1965-06-28	Kouvola	KYM	5 450(2/3)	2011–	ps	eduskuntaryhmän 2. varapuheenjohtaja
Lindtman Antti	1982-08-11	Vantaa	UUS	4 805(5/7)	2011–	sd	
Lintilä Mika	1966-04-15	Toholampi	VAA	5 035(4/4)	1999–	kesk	
Lipponen Päivi	1967-06-25	Helsinki	HEL	4 381(4/4)	2007–	sd	tulevaisuusvaliokunnan puheenjohtaja
Lohela Maria	1978-06-11	Turku	VAR	4 873(3/3)	2011–	ps	
Lohi Markus	1972-06-16	Rovaniemi	LAP	3 615(3/3)	2011–	kesk	
Louhelainen Anne	1965-01-08	Hollola	HÄM	6 160(1/3)	2011–	ps	
Maijala Eeva-Maria	1967-12-23	Savukoski	LAP	4 692(1/3)	2011–	kesk	
Matikainen-Kallström Marjo	1965-02-03	Espoo	UUS	3 360(10/11)	2003–	kok	
Mattila Pirkko	1964-04-02	Muhos	OUL	3 947(4/4)	2011–	ps	
Modig Silvia	1976-07-08	Helsinki	HEL	4 681(2/2)	2011–	vas	
Mustajärvi Markus	1963-02-24	Kemijärvi	LAP	7 621(1/1[5])	2003–	vr[5]	
Myller Riitta	1956-07-12	Joensuu	POK	7 700(1/2)	1987–1995, 2011–	sd	
Myllykoski Jari	1959-06-27	Nakkila	SAT	3 321(1/1)	2011–	vas	ryhmän 2. varapuheenjohtaja
Mäkelä Outi	1974-08-16	Nurmijärvi	UUS	6 024(3/11)	2007–	kok	eduskuntaryhmän 3. varapuheenjohtaja
Mäkinen Tapani	1965-03-19	Vantaa	UUS	4 592(6/11)	2003–2004, 2007–	kok	
Mäkipää Lea	1947-05-06	Kihniö	PIR	9 034(2/4)	1983–1995, 2011–	ps	
Mäkisalo-Ropponen Merja	1958-04-20	Joensuu	POK	2 519(2/2)	2011–	sd	
Männistö Lasse	1982-03-16	Helsinki	HEL	4 866(6/6)	2011–	kok	
Mäntylä Hanna	1974-09-19	Salla	LAP	3 064(1/1)	2011–	ps	
Mäntymaa Markku	1954-04-17	Vaasa	VAA	3 806(2/3)	2011–	kok	
Mölsä Martti	1952-04-02	Punkalaidun	PIR	4 423(4/4)	2011–	ps	
Nauclér Elisabeth	1952-03-07	Maarianhamina	AHV	6 925(1/1)	2007–	r	
Niikko Mika	1967-01-20	Vantaa	UUS	2 703(6/7)	2011–	ps	
Niinistö Jussi	1970-10-27	Nurmijärvi	UUS	4 911(2/7)	2011–	ps	puolustusvaliokunnan puheenjohtaja
Niinistö Ville	1976-07-30	Turku	VAR	5 362(1/1)	2007–	vihr	ympäristöministeri
Nylander Mikaela	1970-03-27	Porvoo	UUS	4 906(3/3)	2003–	r	eduskuntaryhmän puheenjohtaja
Nylund Mats	1964-08-01	Pedersören kunta	VAA	5 709(3/4)	2007–	r	
Oinonen Pentti	1952-06-11	Kuopio	POS	8 920(1/2)	2007–	ps	
Ojala-Niemelä Johanna	1974-10-01	Rovaniemi	LAP	7 052(1/1)	2007–	sd	eduskuntaryhmän 2. varapuheenjohtaja
Orpo Petteri	1969-11-03	Turku	VAR	11 018(1/4)	2007–	kok	eduskuntaryhmän 2. varapuheenjohtaja
Paasio Heli	1972-11-24	Turku	VAR	13 958(1/4)	1999–	sd	
Paatero Sirpa	1964-09-09	Kotka	KYM	5 392(2/4)	2006–	sd	eduskuntaryhmän 1. varapuheenjohtaja
Packalén Tom	1969-10-05	Helsinki	HEL	4 380(2/3)	2011–	ps	
Palm Sari	1966-05-17	Kouvola	KYM	4 621(1/1)	2007–	kd	
Palola Mikael	1976-01-13	Jyväskylä	KES	3 021	2014–	kok	
Paloniemi Aila	1956-01-28	Jyväskylä	KES	4 146(3/3)	2003–	kesk	
Pekkarinen Mauri	1947-10-06	Jyväskylä	KES	7 112(2/3)	1979–	kesk	talousvaliokunnan puheenjohtaja
Pekonen Aino-Kaisa	1979-01-24	Riihimäki	HÄM	4 010(1/1)	2011–	vas	
Pelkonen Jaana	1977-01-27	Helsinki	HEL	5 897(5/6)	2011–	kok	
Peltokorpi Terhi	1975-06-25	Helsinki	HEL	1 158	2004–2007, 2014–	kesk	
Peltonen Tuula	1962-09-04	Jämsä	KES	3 481(2/2)	2007–	sd	
Piirainen Raimo	1952-12-22	Kajaani	OUL	4 187(2/2)	2009–	sd	
Pirttilahti Arto	1963-04-04	Mänttä-Vilppula	PIR	5 516(1/2)	2011–	kesk	
Puumala Tuomo	1982-04-03	Kokkola	VAA	6 898(1/4)	2007–	kesk	
Raatikainen Mika	1961-11-07	Helsinki	HEL	2 425	2014–	ps	
Rajamäki Kari	1948-10-15	Varkaus	POS	6 776(1/2)	1983–	sd	
Rantakangas Antti	1964-02-28	Haapavesi	OUL	6 994(2/6)	1999–	kesk	
Rauhala Leena	1942-02-28	Tampere	PIR	3 511(1/1)	1999–	kd	eduskuntaryhmän 1. varapuheenjohtaja
Ravi Pekka	1949-11-26	Joensuu	POK	5 723(1/1)	1999–2003, 2007–	kok	1. varapuhemies
Rehula Juha	1963-06-03	Hollola	HÄM	5 550(2/2)	1996–	kesk	sosiaali- ja terveysvaliokunnan puheenjohtaja
Reijonen Eero	1947-09-10	Liperi	POK	5 318(2/2)	2003–	kesk	
Risikko Paula	1960-06-04	Seinäjoki	VAA	11 907(1/3)	2003–	kok	sosiaali- ja terveysministeri
Rossi Markku	1956-03-05	Kuopio	POS	4 068(3/3)	1991–1995, 1999, 2000–	kesk	
Rundgren Simo	1953-06-28	Kolari	LAP	3 825(2/3)	2003–2007, 2011–	kesk	
Ruohonen-Lerner Pirkko	1957-02-26	Porvoo	UUS	3 100(3/7)	2007–	ps	eduskuntaryhmän puheenjohtaja
Räsänen Päivi	1959-12-19	Riihimäki	HÄM	6 995(1/1)	1995–	kd	sisäasiainministeri
Saarakkala Vesa-Matti	1984-03-24	Kurikka	VAA	8 276(1/3)	2011–	ps	
Saarikko Annika	1983-11-10	Turku	VAR	4 185(2/2)	2011–	kesk	
Saarinen Matti	1947-06-16	Lohja	UUS	4 253(7/7)	1987–1991, 1995–	sd	
Salolainen Pertti	1940-10-19	Helsinki	HEL	6 205(4/6)	1970–1996, 2007–	kok	
Salonen Kristiina	1977-06-07	Rauma	SAT	7 124(2/2)	2011–	sd	
Sankelo Janne	1967-01-01	Vaasa	VAA	3 792(3/3)	2011–	kok	
Sarkomaa Sari	1965-09-24	Helsinki	HEL	7 457(3/6)	1999–	kok	
Sasi Kimmo	1952-02-21	Tampere	PIR	6 164(3/5)	1983–	kok	valtiovarainvaliokunnan puheenjohtaja
Satonen Arto	1966-10-20	Sastamala	PIR	7 021(2/5)	2003–	kok	liikenne- ja viestintävaliokunnan puheenjohtaja
Savola Mikko	1981-11-29	Ähtäri	VAA	5 985(3/4)	2011–	kesk	
Sinnemäki Anni	1973-07-20	Helsinki	HEL	7 513(2/4)	1999–2015	vihr	
Sipilä Juha	1961-04-25	Kempele	OUL	5 543(5/6)	2011–	kesk	eduskuntaryhmän 2. varapuheenjohtaja
Skinnari Jouko	1946-08-12	Lahti	HÄM	5 186(4/4)	1980–	sd	
Soini Timo	1962-05-30	Espoo	UUS	43 437(1/7)	2003–2009, 2011–	ps	ulkoasiainvaliokunnan puheenjohtaja
Soininvaara Osmo	1951-09-02	Helsinki	HEL	8 285(1/4)	1987–1991, 1995–2007, 2011–	vihr	
Soukola Ismo	1960-09-08	Hämeenlinna	HÄM	5 059(3/3)	2011–	ps	
Stubb Alexander	1968-04-01	Espoo	UUS	41 768(1/11)	2011–	kok	eurooppa- ja ulkomaankauppaministeri, pääministeri
Sumuvuori Johanna	1976-11-08	Helsinki	HEL	4 297	2006–2011, 2015–	vihr	
Suutari Eero	1956-12-27	Kajaani	OUL	3 495(2/2)	2011–	kok	
Taimela Katja	1974-11-23	Salo	VAR	8 498(2/4)	2007–	sd	
Tainio Hanna	1969-09-20	Tampere	PIR	10 400(1/4)	2011–	sd	
Thors Astrid	1957-11-06	Helsinki	HEL	4 983(1/1)	2003–2013	r	
Tiainen Eila	1945-12-24	Jyväskylä	KES	3 955(1/1)	2011–	vas	
Tiilikainen Kimmo	1966-08-17	Ruokolahti	KYM	7 094(1/2)	2003–	kesk	eduskuntaryhmän puheenjohtaja
Toivakka Lenita	1961-09-28	Mikkeli	ETS	5 783(1/1)	2007–	kok	eduskuntaryhmän 1. varapuheenjohtaja
Toivola Jani	1977-11-27	Helsinki	UUS	4 174(2/3)	2011–	vihr	
Tolppanen Maria	1952-11-24	Vaasa	VAA	2 855(3/3)	2011–	ps	
Tolvanen Kari	1961-07-24	Espoo	UUS	5 879(4/11)	2011–	kok	
Torniainen Ari	1956-03-15	Lappeenranta	KYM	5 157(2/2)	2011–	kesk	
Tossavainen Reijo	1948-11-13	Kouvola	KYM	5 725(1/3)	2011–	ps	
