index;Sijoitus;Nimi;Korkeus(m);Prominenssi;Sijainti;KKJ N;KKJ E;Huomautuksia
139;NA;Geatgebassi;517,5;110 Avzegazoaivi;Inari ja Utsjoki;7685565;3469335;
140;NA;Jäkäläpää;516,9;133,1 Latnjoaivi;Inari;7626822;3448634;Ladnjoaivin eteläpuolella oleva Jäkäläpää
141;NA;Luosto;514,2;274,2 Pyhätunturi;Sodankylä;7450039;3495681;
142;NA;Olostunturi;510,8;250,8 Halti;Muonio;7537582;2492158;
143;NA;Sammalvaara;510,0;160 Taivaskero;Enontekiö;7579604;2483823;
144;NA;Äkäskero;508,2;243,2 Halti;Muonio;7517973;2507129;
145;NA;Pyhä-Nattanen;508,2;180,7 Terävä-Nattanen;Sodankylä;7559721;3515563;
146;NA;Akalauttapää;506,7;341,7 Halti;Inari;7620439;3557587;
147;NA;Seyrisvaara;505,0;133 Jierstivaara;Enontekiö;7620220;2481830;Seyrisvaaran pohjoinen huippu, hivenen korkeampi kuin huiput erottavan suuren kurun eteläisempi huippu.
148;NA;Kätkätunturi;504,6;284,6 Halti;Kittilä;7522058;2530807;
149;NA;Orosoaivi;504,5;134,5 Varddoaivi;Utsjoki;7756075;3487902;
150;NA;Urretoaivi;502,8;142,8 Koarvikodds;Inari;7672800;3470840;
151;NA;Buresoaivi;500,3;140,3 Koarvikodds;Inari;7676787;3461344;
152;NA;Birkeoaivi;500,2;100,2 Varddoaivi;Utsjoki;7752430;3485078;
153;NA;Rahpesoaivi;500,0;180,0 Hammastunturi;Inari;7620392;3482876;
154;NA;Ruka;492,1;274,2 Pyhätunturi;Kuusamo;7341705;4461883;Kuusamon korkein vaara
