Nimi	Puolue	Vaalipiiri	Kansanedustajana
Jari Koskela		Perussuomalaiset	Satakunta	2019–
Riikka Slunga-Poutsalo		Perussuomalaiset	Uusimaa	2019–
Veijo Niemi		Perussuomalaiset	Pirkanmaa	2019–
Mari Rantanen		Perussuomalaiset	Helsinki	2019–
Jouni Kotiaho		Perussuomalaiset	Keski-Suomi	2019–
Tom Packalén		Perussuomalaiset	Helsinki	2011–
Mika Raatikainen		Perussuomalaiset	Helsinki	2014–2019
Anna-Maja Henriksson		RKP	Vaasa	2007–
Thomas Blomqvist		RKP	Uusimaa	2007–
Anders Adlercreutz		RKP	Uusimaa	2015–
Joakim Strand		RKP	Vaasa	2015–
Mikko Ollikainen		RKP	Vaasa	2019–
Anders Norrback		RKP	Vaasa	2019–
Veronica Rehn-Kivi		RKP	Uusimaa	2016–
Eva Biaudet		RKP	Helsinki	1991–2006, 2015–
Sandra Bergqvist		RKP	Varsinais-Suomi	2019–
Mats Löfström		För Åland	Ahvenanmaa	2015–
Sanna Marin		Sosiaalidemokraatit	Pirkanmaa	2015–
Tytti Tuppurainen		Sosiaalidemokraatit	Oulu	2011–
Tuula Haatainen		Sosiaalidemokraatit	Helsinki	1996–2007, 2015–
Ville Skinnari		Sosiaalidemokraatit	Häme	2015–
Krista Kiuru		Sosiaalidemokraatit	Satakunta	2007–
Timo Harakka		Sosiaalidemokraatit	Uusimaa	2015–
Sirpa Paatero		Sosiaalidemokraatit	Kaakkois-Suomi	2006–
Antti Lindtman		Sosiaalidemokraatit	Uusimaa	2011–
Antti Rinne		Sosiaalidemokraatit	Uusimaa	2015–
Jutta Urpilainen		Sosiaalidemokraatit	Vaasa	2003–2019
Kristiina Salonen		Sosiaalidemokraatit	Satakunta	2011–
Maria Guzenina		Sosiaalidemokraatit	Uusimaa	2007–
Ilmari Nurminen		Sosiaalidemokraatit	Pirkanmaa	2015–
Eveliina Heinäluoma		Sosiaalidemokraatit	Helsinki	2019–
Aki Lindén		Sosiaalidemokraatit	Varsinais-Suomi	2019–
Riitta Mäkinen		Sosiaalidemokraatit	Keski-Suomi	2018–
Pia Viitanen		Sosiaalidemokraatit	Pirkanmaa	1995–
Merja Mäkisalo-Ropponen		Sosiaalidemokraatit	Savo-Karjala	2011–
Eeva-Johanna Eloranta		Sosiaalidemokraatit	Varsinais-Suomi	2011–
Marko Asell		Sosiaalidemokraatit	Pirkanmaa	2007–2011, 2019–
Tarja Filatov		Sosiaalidemokraatit	Häme	1995–
Kim Berg		Sosiaalidemokraatit	Vaasa	2019–
Johanna Ojala-Niemelä		Sosiaalidemokraatit	Lappi	2007–
Anneli Kiljunen		Sosiaalidemokraatit	Kaakkois-Suomi	2003–
Seppo Eskelinen		Sosiaalidemokraatit	Savo-Karjala	2019–
Suna Kymäläinen		Sosiaalidemokraatit	Kaakkois-Suomi	2011–
Paula Werning		Sosiaalidemokraatit	Kaakkois-Suomi	2019–
Niina Malm		Sosiaalidemokraatit	Kaakkois-Suomi	2019–
Katja Taimela		Sosiaalidemokraatit	Varsinais-Suomi	2007–
Johannes Koskinen		Sosiaalidemokraatit	Häme	1991–2015, 2019–
Mika Kari		Sosiaalidemokraatit	Häme	2011–
Erkki Tuomioja		Sosiaalidemokraatit	Helsinki	1970–1979, 1991–
Jukka Gustafsson		Sosiaalidemokraatit	Pirkanmaa	1987–
Kimmo Kiljunen		Sosiaalidemokraatit	Uusimaa	1995–2011, 2019–
Hussein al-Taee		Sosiaalidemokraatit	Uusimaa	2019–
Johan Kvarnström		Sosiaalidemokraatit	Uusimaa	2019–
Tuula Väätäinen		Sosiaalidemokraatit	Savo-Karjala	2003–2015, 2019–
Matias Mäkynen		Sosiaalidemokraatit	Vaasa	2019–
Piritta Rantanen		Sosiaalidemokraatit	Keski-Suomi	2019–
Raimo Piirainen		Sosiaalidemokraatit	Oulu	2009–2015, 2019–
Heidi Viljanen		Sosiaalidemokraatit	Satakunta	2019–
Ano Turtiainen		Valta kuuluu kansalle	Kaakkois-Suomi	2019–
Li Andersson		Vasemmistoliitto	Varsinais-Suomi	2015–
Aino-Kaisa Pekonen		Vasemmistoliitto	Häme	2011–
Paavo Arhinmäki		Vasemmistoliitto	Helsinki	2007–2021
Hanna Sarkkinen		Vasemmistoliitto	Oulu	2015–
Anna Kontula		Vasemmistoliitto	Pirkanmaa	2011–
Mai Kivelä		Vasemmistoliitto	Helsinki	2019–
Veronika Honkasalo		Vasemmistoliitto	Helsinki	2019–
Markus Mustajärvi		Vasemmistoliitto	Lappi	2003–
Katja Hänninen		Vasemmistoliitto	Oulu	2014–
Jari Myllykoski		Vasemmistoliitto	Satakunta	2011–
Juho Kautto		Vasemmistoliitto	Keski-Suomi	2019–
Jussi Saramo		Vasemmistoliitto	Uusimaa	2019–
Risto Kalliorinne		Vasemmistoliitto	Oulu	2011–2015, 2019
Matti Semi		Vasemmistoliitto	Savo-Karjala	2015–
Johannes Yrttiaho		Vasemmistoliitto	Varsinais-Suomi	2019–
Pia Lohikoski		Vasemmistoliitto	Uusimaa	2019–
Maria Ohisalo		Vihreät	Helsinki	2019–
Pekka Haavisto		Vihreät	Helsinki	1987–1995, 2007–
Krista Mikkonen		Vihreät	Savo-Karjala	2015–
Emma Kari		Vihreät	Helsinki	2015–
Jenni Pitko		Vihreät	Oulu	2019–
Mari Holopainen		Vihreät	Helsinki	2019–
Pirkka-Pekka Petelius		Vihreät	Uusimaa	2019–
Inka Hopsu		Vihreät	Uusimaa	2019–
Outi Alanko-Kahiluoto		Vihreät	Helsinki	2007–
Iiris Suomela		Vihreät	Pirkanmaa	2019–
Satu Hassi		Vihreät	Pirkanmaa	1991–2004, 2015–
Atte Harjanne		Vihreät	Helsinki	2019–
Noora Koponen		Vihreät	Uusimaa	2019–
Saara Hyrkkö		Vihreät	Uusimaa	2019–
Bella Forsgrén		Vihreät	Keski-Suomi	2019–
Sofia Virta		Vihreät	Varsinais-Suomi	2019–
Tiina Elo		Vihreät	Uusimaa	2019–
Heli Järvinen		Vihreät	Kaakkois-Suomi	2007–2011, 2015–
Hanna Holopainen		Vihreät	Kaakkois-Suomi	2019–
Mirka Soinikoski		Vihreät	Häme	2019–
